Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),87.93,2.87,116.07,,,,,,94.79,,95.64,95.90,96.38,20.50
Active Decode Throughput Per User (tokens/sec/user),18.70,2.87,29.29,,,,,,18.98,,19.28,20.14,24.30,2.96
Active Prefill Throughput (tokens/sec),814.57,162.93,882.97,,,,,,882.97,,882.97,882.97,882.97,113.77
Active Prefill Throughput Per User (tokens/sec/user),172.96,162.93,227.58,,,,,,176.59,,176.59,176.59,176.59,5.77
Active Total Throughput (tokens/sec),163.41,17.59,882.97,,,,,,94.79,,382.75,882.97,882.97,222.37
Credit-to-Start Latency (ms),2.69,2.48,3.05,13.47,2.49,2.51,2.53,2.60,2.66,2.68,2.90,2.97,3.03,0.19
Decode Duration (ms),26364.76,24682.61,28364.75,131823.80,24731.74,24928.26,25173.92,25910.89,26110.54,26755.02,27720.86,28042.80,28300.36,1204.37
E2E Output Token Throughput (tokens/sec/user),17.11,16.36,18.00,85.54,16.38,16.44,16.52,16.77,17.16,17.25,17.70,17.85,17.97,0.55
Effective Concurrency,4.78,0.00,5.00,,,,,,5.00,,5.00,5.00,5.00,0.78
Effective Decode Concurrency,4.31,0.00,5.00,,,,,,5.00,,5.00,5.00,5.00,1.56
Effective Decode Throughput (tokens/sec),81.59,0.00,116.07,,,,,,94.65,,95.61,95.85,96.38,30.12
Effective Decode Throughput Per User (tokens/sec/user),17.35,0.00,29.29,,,,,,18.97,,19.25,20.14,24.30,5.62
Effective Latency (CO-aware) (ms),29248.24,27719.67,30564.49,146241.18,27770.18,27972.23,28224.79,28982.47,29148.06,29826.49,30269.29,30416.89,30534.97,947.01
Effective Prefill Concurrency,0.47,0.00,5.00,,,,,,0.00,,2.00,5.00,5.00,1.42
Effective Prefill Throughput (tokens/sec),81.78,0.00,882.97,,,,,,0.00,,325.87,882.97,882.97,247.44
Effective Prefill Throughput Per User (tokens/sec/user),17.37,0.00,227.58,,,,,,0.00,,162.94,176.59,176.59,52.01
